STORE_TYPE,ZIP4,ZIP_CODE,RECORD_ID,STATE,LONGITUDE,STORE_STREET_ADDRESS,INCENTIVE_PROGRAM,Y,ADDITONAL_ADDRESS,CITY,STORE_NAME,LATITUDE,Ï»¿X,OBJECTID,GRANTEE_NAME,COUNTY
Super Store,    ,77429,272858.0,TX,-95.699425,26270 NORTHWEST FWY,,3500223.25886712,,CYPRESS,Walmart Supercenter 5091,29.974117,-10653211.2602091,8310,,HARRIS
Super Store,2832,77586,273386.0,TX,-95.025688,1905 EL MAR LN,,3448394.19104252,,SEABROOK,KROGER  342,29.569984,-10578211.2004405,8346,,HARRIS
Supermarket,1997,77008,331389.0,TX,-95.410194,2300 N SHEPHERD DR,,3478805.56573885,,HOUSTON,HEB Food Store 737,29.807312,-10621014.2125674,8743,,HARRIS
Supermarket,    ,77587,334779.0,TX,-95.208229,3316 S SHAVER ST,,3459748.66743424,,HOUSTON,Lewis Food Town 5,29.658659,-10598531.5716094,8761,,HARRIS
Discount Retail,3509,77530,331501.0,TX,-95.125374,777B SHELDON RD,,3476181.74320996,,CHANNELVIEW,DOLLAR GENERAL  9055,29.786858,-10589308.1951997,8839,,HARRIS
Super Store,3518,77090,297814.0,TX,-95.435081,360 FM 1960 RD W,,3506069.74676083,,HOUSTON,KROGER  395,30.019602,-10623784.6207348,8936,,HARRIS
Super Store,2182,77346,335312.0,TX,-95.160912,19300 W LAKE HOUSTON PKWY,,3503686.61151678,,HUMBLE,KROGER  318,30.001064,-10593264.2672635,8966,,HARRIS
Pharmacy,3404,77379,331868.0,TX,-95.492226,19302 KUYKENDAHL RD,,3510163.56242726,,SPRING,Walgreens 7413,30.051439,-10630145.9730362,8992,,HARRIS
Other,2635,77083,348269.0,TX,-95.615417,13201 BELLAIRE BLVD,,3465356.92704032,,HOUSTON,MY HOA FOOD MARKET,29.702429,-10643859.5324265,9012,,HARRIS
Pharmacy,3334,77502,355605.0,TX,-95.227409,2130 RICHEY ST,,3462611.17578233,,PASADENA,Walgreens 05422,29.681002,-10600666.6794428,9022,,HARRIS
Super Store,    ,77068,356467.0,TX,-95.484215,3450 FM 1960 RD W,,3503313.07377659,,HOUSTON,Walmart 1103,29.998158,-10629254.1925955,9115,,HARRIS
Supermarket,4974,77024,298493.0,TX,-95.560211,12850 MEMORIAL DR,,3474597.7548322,,HOUSTON,RANDALLS 1066,29.774508,-10637714.0286178,9231,,HARRIS
Discount Retail,6559,77536,298763.0,TX,-95.114784,8311 SPENCER HWY,,3460412.25460587,,DEER PARK,DOLLAR GENERAL 11474,29.663839,-10588129.3217922,9246,,HARRIS
Convenience Store,4448,77055,1648451.0,TX,-95.524124,9393 LONG POINT RD,,3477556.70094282,,HOUSTON,Porkys Longpoint,29.797577,-10633696.8421535,9506,,HARRIS
Super Store,4035,77338,347438.0,TX,-95.283401,9451 FM 1960 BYPASS RD W,,3504701.49140925,,HUMBLE,Walmart SUPERCENTER 1837,30.008959,-10606899.6803713,9572,,HARRIS
Super Store,5721,77062,347651.0,TX,-95.124672,16400 EL CAMINO REAL,,3446931.35165904,,HOUSTON,KROGER 385,29.558554,-10589230.0489172,9660,,HARRIS
Supermarket,7234,77379,347761.0,TX,-95.525452,7310 LOUETTA RD,,3506142.00110154,,SPRING,HEB 576,30.020164,-10633844.6744373,9676,,HARRIS
Pharmacy,3129,77346,349105.0,TX,-95.162514,7440 FM 1960 RD E,,3503312.55962344,,HUMBLE,WALGREENS  3025,29.998154,-10593442.6010878,9803,,HARRIS
Supermarket,1735,77093,289684.0,TX,-95.310272,5429 MOUNT HOUSTON RD,,3489559.17344932,,HOUSTON,GUANAJUATO SUPERMARKET,29.891098,-10609890.9464084,9988,,HARRIS
Pharmacy,2058,77035,386468.0,TX,-95.508202,6675 W BELLFORT ST,,3459393.18835956,,HOUSTON,Walgreens 4927,29.655884,-10631924.4132211,10227,,HARRIS
Convenience Store,5609,77020,386910.0,TX,-95.291389,1708 N WAYSIDE DR,,3475206.82975324,,HOUSTON,SPEEDY MART,29.779257,-10607788.9004638,10267,,HARRIS
Super Store,4816,77019,387470.0,TX,-95.405525,1938 W GRAY ST,,3471942.09473122,,HOUSTON,KROGER  355,29.753799,-10620494.4618649,10301,,HARRIS
Super Store,4764,77089,354934.0,TX,-95.214783,11701 S SAM HOUSTON PKWY E,,3452652.21367663,,HOUSTON,KROGER 746,29.603247,-10599261.159552,10391,,HARRIS
Super Store,3443,77520,352563.0,TX,-94.95295,1700 N ALEXANDER DR,,3470286.06342866,,BAYTOWN,KROGER  974,29.740883,-10570114.0433192,10580,,HARRIS
Grocery Store,3440,77084,451591.0,TX,-95.644753,4466 HIGHWAY 6 N,,3482898.61488165,,HOUSTON,La Michoacana Meat Market 26,29.839211,-10647125.2010084,10584,,HARRIS
Super Store,5283,77070,353177.0,TX,-95.583,12222 JONES RD,,3497348.49152348,,HOUSTON,Kroger 371,29.951744,-10640250.8884935,10986,,HARRIS
Super Store,1045,77033,341319.0,TX,-95.326683,5600 MYKAWA RD,,3464273.13943294,,HOUSTON,Fiesta Mart 5,29.693972,-10611717.8105718,11070,,HARRIS
Convenience Store,2312,77035,318560.0,TX,-95.497917,6060 W BELLFORT ST,,3459611.85486776,,HOUSTON,I&A FOOD STORE,29.657591,-10630779.4922583,11103,,HARRIS
Super Store,7176,77379,340628.0,TX,-95.533234,15802 CHAMPION FOREST DR,,3503838.16349892,,SPRING,KROGER 307,30.002243,-10634710.9627146,11190,,HARRIS
Super Store,    ,77346,341258.0,TX,-95.176369,6626 FM 1960 RD E,,3502992.63184366,,HUMBLE,Walmart 744,29.995665,-10594984.9326327,11235,,HARRIS
Convenience Store,2610,77036,341259.0,TX,-95.540527,6050 S GESSNER DR,,3466828.01002073,,HOUSTON,IN AND OUT MINIMART,29.713907,-10635522.815761,11236,,HARRIS
Pharmacy,1131,77037,342065.0,TX,-95.405846,105 WEST RD,,3492657.07017817,,HOUSTON,WALGREENS 06239,29.915222,-10620530.1954215,11359,,HARRIS
Convenience Store,1317,77023,342091.0,TX,-95.326668,805 DUMBLE ST,,3470088.49759801,,HOUSTON,PAT'S FOOD MART,29.739342,-10611716.1407794,11361,,HARRIS
Super Store,1301,77031,282796.0,TX,-95.529251,8650 S BRAESWOOD BLVD,,3461385.79113506,,HOUSTON,Fiesta Mart 43,29.671438,-10634267.5771828,11431,,HARRIS
Super Store,2605,77057,339794.0,TX,-95.500961,1801 S VOSS RD,,3471258.80851773,,HOUSTON,KROGER  309,29.74847,-10631118.3487883,11476,,HARRIS
Pharmacy,4725,77020,317109.0,TX,-95.316132,1515 LOCKWOOD DR,,3474810.78027867,,HOUSTON,Walgreens 02686,29.776169,-10610543.2786244,11630,,HARRIS
Pharmacy,1512,77083,344141.0,TX,-95.644852,6768 HIGHWAY 6 S,,3465611.57974583,,HOUSTON,Walgreens 03661,29.704416,-10647136.221638,11671,,HARRIS
Convenience Store,4925,77072,319573.0,TX,-95.574684,8002 BOONE RD,,3463659.07205806,,HOUSTON,BOONE FOOD STORE,29.68918,-10639325.155608,11863,,HARRIS
Supermarket,7501,77080,316127.0,TX,-95.545181,1413 GESSNER DR,,3477298.09143401,,HOUSTON,La Michoacana Meat Market 06,29.795561,-10636040.8966712,11988,,HARRIS
Convenience Store,1441,77072,241501.0,TX,-95.576057,4040 BOONE RD,,3467051.92979966,,HOUSTON,Stop By Market,29.715654,-10639477.9972689,12142,,HARRIS
Discount Retail,1206,77091,299073.0,TX,-95.473251,6666 ANTOINE DR,,3485735.0936647,,HOUSTON,DOLLAR GENERAL 1840,29.861311,-10628033.6856984,12229,,HARRIS
Discount Retail,3511,77536,302850.0,TX,-95.122482,1813 CENTER ST,,3464486.25021065,,DEER PARK,DOLLAR GENERAL  4765,29.695635,-10588986.2592323,12265,,HARRIS
Super Store,6205,77045,336082.0,TX,-95.445129,4425 W FUQUA ST,,3453804.4240246,,HOUSTON,COX'S FOODARAMA INC,29.612246,-10624903.1589783,12347,,HARRIS
Supermarket,1965,77005,336932.0,TX,-95.442123,5586 WESLAYAN ST,,3467824.33554225,,HOUSTON,RANDALLS  4033,29.72168,-10624568.532589,12755,,HARRIS
Supermarket,4564,77450,302241.0,TX,-95.75045,1621 S MASON RD,,3472348.44222649,,KATY,HEB 497,29.756968,-10658891.3372268,12800,,HARRIS
Super Store,8239,77375,241253.0,TX,-95.5951,22605 STATE HIGHWAY 249,,3505370.62359638,,TOMBALL,Walmart SUPERCENTER 5045,30.014164,-10641597.8543321,12862,,HARRIS
Grocery Store,2012,77081,337300.0,TX,-95.476624,5330 CHIMNEY ROCK RD,,3468075.19152528,,HOUSTON,Supermercado Teloloapan 7,29.723637,-10628409.1663408,12983,,HARRIS
Convenience Store,5900,77039,264676.0,TX,-95.326309,4531 ALDINE MAIL RD,,3491050.24118128,,HOUSTON,NUMBER ONE ALDINE FD STR,29.90271,-10611676.1770823,13133,,HARRIS
Super Store,3826,77067,398204.0,TX,-95.465752,3020 GEARS RD,,3496731.42540205,,HOUSTON,THANG HUNG FOOD MARKET,29.946941,-10627198.9008369,13322,,HARRIS
Supermarket,5813,77084,323228.0,TX,-95.716805,1550 FRY RD,,3476472.78224267,,HOUSTON,HEB 492,29.789127,-10655145.9929591,13355,,HARRIS
Convenience Store,5834,77338,1589718.0,TX,-95.260818,8210 WILL CLAYTON PKWY,,3500874.80685899,,HUMBLE,Fuel Hub,29.979187,-10604385.7523107,13428,,HARRIS
Super Store,3321,77051,455291.0,TX,-95.356674,9420 CULLEN BLVD,,3459307.36244852,,HOUSTON,Fiesta Mart 51,29.655214,-10615056.3934202,13532,,HARRIS
Supermarket,3752,77587,325853.0,TX,-95.209206,1630 SPENCER HWY,,3460526.40016766,,SOUTH HOUSTON,MI TIENDA 066,29.66473,-10598640.3307519,13560,,HARRIS
Super Store,3300,77379,326281.0,TX,-95.51503,21150 KUYKENDAHL RD,,3513279.32899732,,SPRING,Walmart Supercenter 5287,30.075663,-10632684.5027042,13622,,HARRIS
Convenience Store,4707,77032,323963.0,TX,-95.303024,14525 LEE RD,,3494530.24654137,,HOUSTON,FAMILY FOOD STORE,29.929806,-10609084.1027391,13857,,HARRIS
Supermarket,5058,77536,455929.0,TX,-95.123466,3322 CENTER ST,,3462703.30215396,,DEER PARK,Lewis Food Town 208,29.681721,-10589095.7976113,13866,,HARRIS
Convenience Store,7028,77009,454826.0,TX,-95.351669,1620 QUITMAN ST,,3475730.76759516,,HOUSTON,SUNNY FOOD STORE,29.783342,-10614499.2393688,13954,,HARRIS
Super Store,3408,77070,360032.0,TX,-95.56588,10010 CYPRESSWOOD DR,,3501228.99561804,,HOUSTON,KROGER 748,29.981943,-10638345.0988111,14293,,HARRIS
Supermarket,4909,77091,360081.0,TX,-95.474419,5367 ANTOINE DR,,3483303.6410298,,HOUSTON,Lewis Food Town 11,29.842367,-10628163.7068636,14298,,HARRIS
Super Store,1512,77024,360217.0,TX,-95.52227,9325 KATY FWY,,3475571.33944806,,HOUSTON,KROGER 600,29.782099,-10633490.4558176,14319,,HARRIS
Super Store,3343,77449,499643.0,TX,-95.720642,1313 N FRY RD,,3479597.15366648,,KATY,Walmart SUPERCENTER  768,29.813482,-10655573.1258452,14408,,HARRIS
Discount Retail,5655,77532,322505.0,TX,-95.06913,6500 FM 2100 RD STE 150,,3493407.64355572,,CROSBY,DOLLAR GENERAL 1807,29.921066,-10583047.1417595,14754,,HARRIS
Discount Retail,4436,77083,357718.0,TX,-95.647881,14643 BEECHNUT ST,,3463577.95892031,,HOUSTON,DOLLAR GENERAL 9781,29.688547,-10647473.4083756,14858,,HARRIS
Other,3132,77086,442872.0,TX,-95.491592,13572 STATE HIGHWAY 249 # B,,3493077.43207882,,HOUSTON,Casa Del Pueblo Meat Market 3,29.918495,-10630075.396479,15377,,HARRIS
Pharmacy,6205,77045,413104.0,TX,-95.44529,4451 W FUQUA ST,,3453929.3949027,,HOUSTON,CVS/ PHARMACY INC 6238,29.613222,-10624921.0814163,15540,,HARRIS
Pharmacy,2512,77008,413488.0,TX,-95.399559,200 W 20TH ST,,3478370.79049023,,HOUSTON,Walgreens 13786,29.803923,-10619830.3297829,15583,,HARRIS
Pharmacy,2301,77029,412547.0,TX,-95.233391,11107 MARKET ST,,3473730.55585674,,HOUSTON,Walgreens 3444,29.767746,-10601332.5926367,15942,,HARRIS
Grocery Store,2411,77081,327279.0,TX,-95.488548,5911 RAMPART ST,,3467216.76390718,,HOUSTON,LA MEXICANA FRUIT & MEAT MKT #3,29.71694,-10629736.5399491,16026,,HARRIS
Supermarket,2558,77087,374378.0,TX,-95.297806,3111 WOODRIDGE DR,,3464538.27899397,,HOUSTON,HEB 540,29.696041,-10608503.2376362,16233,,HARRIS
