ZIP_CODE,COUNTY,Y,STORE_TYPE,CITY,Ï»¿X,LATITUDE,ADDITONAL_ADDRESS,INCENTIVE_PROGRAM,GRANTEE_NAME,STORE_NAME,STATE,OBJECTID,STORE_STREET_ADDRESS,RECORD_ID,ZIP4,LONGITUDE
75043,DALLAS,3876822.02240745,Convenience Store,GARLAND,-10758136.3368122,32.860649,,,,E Z SHOP #7,TX,12892.0,4616 NORTHWEST HWY,396087.0,4911,-96.641983
75149,DALLAS,3862162.96469081,Discount Retail,MESQUITE,-10753063.5076168,32.749966,,,,DOLLAR GENERAL 13077,TX,12912.0,1300 BELTLINE RD,396155.0,    ,-96.596413
75150,DALLAS,3871869.30531317,Pharmacy,MESQUITE,-10758588.9618618,32.823269,,,,Walgreens 03824,TX,12952.0,4435 GUS THOMASSON RD,397337.0,2231,-96.646049
75150,DALLAS,3869141.29916275,Supermarket,MESQUITE,-10758611.8936769,32.802673,,,,Albertsons 4129,TX,13202.0,2828 MOTLEY DR,265405.0,3425,-96.646255
75227,DALLAS,3863804.46831889,Convenience Store,DALLAS,-10759751.6939431,32.762367,,,,Pak Bros Llc,TX,13474.0,9602 SCYENE RD,1605306.0,4918,-96.656494
75228,DALLAS,3869309.62887974,Convenience Store,DALLAS,-10762581.5467186,32.803944,,,,Raceway 6980,TX,13479.0,3516 N BUCKNER BLVD,1578256.0,5608,-96.681915
75236,DALLAS,3852487.752255,Pharmacy,DALLAS,-10785913.5553914,32.676838,,,,Walgreens 04459,TX,13504.0,8120 S COCKRELL HILL RD,456546.0,9668,-96.89151
75231,DALLAS,3879265.09768628,Pharmacy,DALLAS,-10768573.42963,32.879082,,,,CVS/ PHARMACY 6965,TX,13934.0,7203 SKILLMAN ST,454785.0,4901,-96.735741
75040,DALLAS,3890314.52042015,Super Store,GARLAND,-10758194.1116279,32.962402,,,,Walmart 1055,TX,13957.0,5302 N GARLAND AVE,457504.0,    ,-96.642502
75233,DALLAS,3854407.00199351,Pharmacy,DALLAS,-10782142.6076408,32.691349,,,,WALGREENS 6197,TX,14061.0,2401 W LEDBETTER DR,320484.0,4015,-96.857635
75080,DALLAS,3892249.63806954,Discount Retail,RICHARDSON,-10768807.7571581,32.976986,,,,DOLLAR GENERAL 4203,TX,14099.0,521 W CAMPBELL RD,320911.0,3399,-96.737846
75115,DALLAS,3840358.7588835,Discount Retail,DESOTO,-10782083.1630327,32.585079,,,,DOLLAR GENERAL 9628,TX,14136.0,327 S HAMPTON RD,321045.0,5745,-96.857101
75061,DALLAS,3872517.09437632,Pharmacy,IRVING,-10797283.95082,32.828159,,,,WALGREENS 7354,TX,14357.0,1330 N BELT LINE RD,371349.0,4016,-96.993652
75230,DALLAS,3881369.68023785,Supermarket,DALLAS,-10776087.1613001,32.894958,,,,TOM THUMB  3522,TX,14361.0,522 PRESTON ROYAL,372399.0,    ,-96.803238
75150,DALLAS,3872233.06958669,Discount Retail,MESQUITE,-10758722.3226117,32.826015,Ste 56,,,DOLLAR GENERAL 1801,TX,14491.0,4550 GUS THOMASSON RD,371425.0,1753,-96.647247
