STORE_STREET_ADDRESS,CITY,FOOD_COMPOSITE_KEY
3542 W AIRPORT FWY,IRVING,3542 W AIRPORT FWY IRVING
8282 SPRING VALLEY RD,DALLAS,8282 SPRING VALLEY RD DALLAS
2309 W ROCHELLE RD,IRVING,2309 W ROCHELLE RD IRVING
11903 LAKE JUNE RD STE A,BALCH SPRINGS,11903 LAKE JUNE RD STE A BALCH SPRINGS
3347 W WALNUT ST,GARLAND,3347 W WALNUT ST GARLAND
1413 OATES DR,MESQUITE,1413 OATES DR MESQUITE
3601 N BELT LINE RD,SUNNYVALE,3601 N BELT LINE RD SUNNYVALE
500 N GALLOWAY AVE,MESQUITE,500 N GALLOWAY AVE MESQUITE
3380 LOMBARDY LN,DALLAS,3380 LOMBARDY LN DALLAS
3117 MALCOLM X BLVD,DALLAS,3117 MALCOLM X BLVD DALLAS
802 E PIONEER PKWY,GRAND PRAIRIE,802 E PIONEER PKWY GRAND PRAIRIE
1515 S BUCKNER BLVD,DALLAS,1515 S BUCKNER BLVD DALLAS
1130 N COUNTRY CLUB RD,GARLAND,1130 N COUNTRY CLUB RD GARLAND
8025 S LOOP 12,DALLAS,8025 S LOOP 12 DALLAS
2454 W ILLINOIS AVE,DALLAS,2454 W ILLINOIS AVE DALLAS
2548 DICKERSON PKWY,CARROLLTON,2548 DICKERSON PKWY CARROLLTON
2376 LAVON DR,GARLAND,2376 LAVON DR GARLAND
1515 S BUCKNER BLVD,DALLAS,1515 S BUCKNER BLVD DALLAS
4701 LAKEVIEW PKWY,ROWLETT,4701 LAKEVIEW PKWY ROWLETT
655 W ILLINOIS AVE,DALLAS,655 W ILLINOIS AVE DALLAS
700 N DENTON TAP RD,COPPELL,700 N DENTON TAP RD COPPELL
928 E GRAUWYLER RD,IRVING,928 E GRAUWYLER RD IRVING
2645 ARAPAHO RD,GARLAND,2645 ARAPAHO RD GARLAND
1213 E TRINITY MILLS RD,CARROLLTON,1213 E TRINITY MILLS RD CARROLLTON
9850 WALNUT HILL LN,DALLAS,9850 WALNUT HILL LN DALLAS
11732 MARSH LANE,DALLAS,11732 MARSH LN DALLAS
3500 E ILLINOIS AVE,DALLAS,3500 E ILLINOIS AVE DALLAS
1005 W PIONEER PKWY,GRAND PRAIRIE,1005 W PIONEER PKWY GRAND PRAIRIE
3129 GRAND AVE,DALLAS,3129 GRAND AVE DALLAS
333 S SAINT AUGUSTINE DR,DALLAS,333 S SAINT AUGUSTINE DR DALLAS
885 W MILLER RD,GARLAND,885 W MILLER RD GARLAND
8032 FERGUSON RD,DALLAS,8032 FERGUSON RD DALLAS
3465 W WALNUT ST,GARLAND,3465 W WALNUT ST GARLAND
1153 W CAMP WISDOM RD,DALLAS,1153 W CAMP WISDOM RD DALLAS
3200 S LANCASTER RD STE 750,DALLAS,3200 S LANCASTER RD STE 750 DALLAS
127 HALL RD,SEAGOVILLE,127 HALL RD SEAGOVILLE
2417 GUS THOMASSON RD,DALLAS,2417 GUS THOMASSON RD DALLAS
415 E HIGHWAY 303,GRAND PRAIRIE,415 E HIGHWAY 303 GRAND PRAIRIE
9243 SKILLMAN ST,DALLAS,9243 SKILLMAN ST DALLAS
149 W KINGSLEY RD,GARLAND,149 W KINGSLEY RD GARLAND
2015 N MASTERS DR STE 207,DALLAS,2015 N MASTERS DR STE 207 DALLAS
3289 S POLK ST,DALLAS,3289 S POLK ST DALLAS
6110 SAMUELL BLVD,DALLAS,6110 SAMUELL BLVD DALLAS
2720 SAMUELL BLVD,DALLAS,2720 SAMUELL BLVD DALLAS
6300 SKILLMAN ST,DALLAS,6300 SKILLMAN ST DALLAS
1800 W IRVING BLVD,IRVING,1800 W IRVING BLVD IRVING
926 E MAIN ST,GRAND PRAIRIE,926 E MAIN ST GRAND PRAIRIE
210 W CAMP WISDOM RD,DUNCANVILLE,210 W CAMP WISDOM RD DUNCANVILLE
4420 GUS THOMASSON RD,MESQUITE,4420 GUS THOMASSON RD MESQUITE
305 S BELT LINE RD,IRVING,305 S BELT LINE RD IRVING
9548 SCYENE RD,DALLAS,9548 SCYENE RD DALLAS
