ADDITONAL_ADDRESS,STATE,COUNTY,LONGITUDE,STORE_NAME,STORE_TYPE,ZIP4,Ï»¿X,GRANTEE_NAME,RECORD_ID,INCENTIVE_PROGRAM,Y,OBJECTID,STORE_STREET_ADDRESS,LATITUDE,ZIP_CODE,CITY,CUISINE_TYPE,CATEGORY,SUBCATEGORY,SUB_SUBCATEGORY
,TX,DALLAS,-96.586266,TOM THUMB  1784,Supermarket,6032,-10751933.9487437,,231026.0,,3861649.42126825,5456.0,1501 PIONEER RD,32.746086,75149,MESQUITE,General Retail/Food/Other,,,
,TX,DALLAS,-96.687202,SUPER MERCADO MEXICO # 3,Supermarket,1601,-10763170.0928664,,228350.0,,3860075.31178121,5809.0,7828 LAKE JUNE RD,32.734192,75217,DALLAS,Mexican,Americas,Latin America - Central America,Mexico
,TX,DALLAS,-96.789238,KIEST MARKET,Grocery Store,4122,-10774528.688429,,308464.0,,3860655.88412424,6095.0,3807 E KIEST BLVD,32.738579,75203,DALLAS,General Retail/Food/Other,,,
,TX,DALLAS,-96.831673,JERRYS SUPERMARKET #3,Supermarket,4722,-10779252.5310208,,278236.0,,3861258.71970745,6152.0,532 W JEFFERSON BLVD,32.743134,75208,DALLAS,General Retail/Food/Other,,,
,TX,DALLAS,-96.787849,TOM THUMB 1973,Supermarket,1335,-10774374.0656563,,309801.0,,3875481.48250046,6244.0,7000 SNIDER PLZ,32.850533,75205,DALLAS,General Retail/Food/Other,,,
,TX,DALLAS,-96.634842,SWIFT T # 11,Convenience Store,1149,-10757341.4043284,,276041.0,,3873278.19274144,6392.0,2333 OATES DR,32.833904,75150,MESQUITE,General Retail/Food/Other,,,
,TX,DALLAS,-96.7705,Fiesta Mart 40,Super Store,7453,-10772442.7838105,,280346.0,,3870044.16264033,6564.0,5334 ROSS AVE,32.80949,75206,DALLAS,Mexican,Americas,Latin America - Central America,Mexico
,TX,DALLAS,-96.682999,Walgreens 04267,Pharmacy,4744,-10762702.2170466,,277000.0,,3886050.79915829,6576.0,1902 N JUPITER RD,32.93026,75042,GARLAND,Uncategorized,,,
,TX,DALLAS,-96.578308,Walmart 3225,Super Store,    ,-10751048.0682359,,309499.0,,3883152.0300409,6755.0,2501 LAKEVIEW PKWY,32.908401,75088,ROWLETT,Uncategorized,,,
,TX,DALLAS,-96.699249,CVS/ PHARMACY 6966,Pharmacy,7115,-10764511.158772,,293198.0,,3867733.9661873,7234.0,6004 SAMUELL BLVD,32.792046,75228,DALLAS,Uncategorized,,,
,TX,DALLAS,-96.874168,WALGREENS  3956,Pharmacy,5651,-10783983.052782,,312681.0,,3860051.09431714,7280.0,1104 S WESTMORELAND RD,32.734009,75211,DALLAS,Uncategorized,,,
Ste 1,TX,DALLAS,-96.875298,STOP N BUY,Convenience Store,2998,-10784108.8438066,,232663.0,,3878092.07188439,7295.0,9750 BROCKBANK DR,32.870232,75220,DALLAS,General Retail/Food/Other,,,
,TX,DALLAS,-96.887741,Albertsons 0269,Supermarket,2991,-10785493.9922306,,312393.0,,3891940.32154944,7326.0,2150 N JOSEY LN,32.974655,75006,CARROLLTON,General Retail/Food/Other,,,
,TX,DALLAS,-96.815041,Whole Foods Market 10140,Super Store,1535,-10777401.0652499,,315515.0,,3871558.00832788,7485.0,4100 LOMO ALTO DR,32.820919,75219,DALLAS,Uncategorized,,,
,TX,DALLAS,-96.606361,Walmart SUPERCENTER 2975,Super Store,2586,-10754170.9139112,,291608.0,,3877467.16865589,7578.0,3959 BROADWAY BLVD,32.865517,75043,GARLAND,Uncategorized,,,
