TAXPAYER_NUMBER,TAXPAYER_NAME,TAXPAYER_ADDRESS,TAXPAYER_CITY,TAXPAYER_STATE,TAXPAYER_ZIP_CODE,TAXPAYER_COUNTY_CODE,TAXPAYER_ORGANIZATION_TYPE,OUTLET_NUMBER,OUTLET_NAME,OUTLET_ADDRESS,OUTLET_CITY,OUTLET_STATE,OUTLET_ZIP_CODE,OUTLET_COUNTY_CODE,OUTLET_NAICS_CODE,OUTLET_INSIDE/OUTSIDE_CITY_LIMITS_INDICATOR,OUTLET_PERMIT_ISSUE_DATE,OUTLET_FIRST_SALES_DATE,ID,Latitude,Longitude,Match_Status,Match_Type
32074728752,MISSY'S COTTAGE BAKERY LLC,212 CARRIAGE CT,COPPELL,TX,75019,57,CL,1,MISSY'S COTTAGE BAKERY LLC,212 CARRIAGE CT,COPPELL,TX,75019,57.0,445292.0,Y,11/05/2020,11/04/2020,1250,32.960626811061,-96.996608295576,Match,Exact
18201844349,ALBERTSON'S LLC,PO BOX 29096,PHOENIX,AZ,85038,0,CI,134,ALBERTSON'S #4129,2828 MOTLEY DR,MESQUITE,TX,75150,57.0,445110.0,Y,03/10/1992,04/13/1992,1251,,,No_Match,
17516996307,"MUSKET OF TEXAS, INC.",PO BOX 26210,OKLAHOMA CITY,OK,73126,0,CT,42,LOVE'S TRAVEL STOP # 294,8800 S POLK ST,DALLAS,TX,75232,57.0,445310.0,Y,07/21/2011,07/01/2011,1252,,,No_Match,
32069110040,MACARTHUR EXPRESS INC,8600 N MACARTHUR BLVD STE 160,IRVING,TX,75063,57,CT,1,MACARTHUR EXPRESS,8600 N MACARTHUR BLVD STE 160,IRVING,TX,75063,57.0,445310.0,Y,09/04/2019,10/01/2019,1253,32.923711064182,-96.95508450744,Match,Exact
32006736675,SAI SURYA SYNDICATE LLC,5330 N MACARTHUR BLVD STE 140,IRVING,TX,75038,57,CL,1,HOT BREADS,5330 N MACARTHUR BLVD STE 140,IRVING,TX,75038,57.0,445291.0,Y,08/23/2012,06/20/2003,1254,,,No_Match,
17508732769,RANDALL'S FOOD & DRUGS LP,PO BOX 29096 C/O MS 6531,PHOENIX,AZ,85038,0,PF,52,RANDALL'S FOOD AND DRUG #3522,522 PRESTON ROYAL,DALLAS,TX,75230,57.0,445110.0,Y,05/11/2001,05/02/2001,1255,32.89527176902,-96.805367779588,Match,Non_Exact
17523262743,"PO-GO'S LIQUORS, INC.",5360 W LOVERS LN STE 200,DALLAS,TX,75209,57,CT,1,"PO-GO'S LIQUORS, INC.",5360 W LOVERS LN STE 200,DALLAS,TX,75209,57.0,445310.0,Y,07/26/1990,08/15/1990,1256,,,No_Match,
12641788372,"WEBB CHAPEL INVESTMENTS, INC",1004 WEBB CHAPEL RD,CARROLLTON,TX,75006,57,CT,1,WEBB CHAPEL BEER & WINE,1004 WEBB CHAPEL RD,CARROLLTON,TX,75006,57.0,445310.0,Y,02/17/2009,03/01/2009,1257,32.953295022113,-96.870955673051,Match,Exact
32051784521,"HOODSONS ENTERPRISES, INC",8424 PRESTON RD,DALLAS,TX,75225,57,CT,1,PRESTON CHEVRON,8424 PRESTON RD,DALLAS,TX,75225,57.0,445120.0,Y,08/28/2013,09/15/2013,1258,32.864710709514,-96.802703521902,Match,Non_Exact
32077147828,STREGAWORKS LLC,2246 FOREST HOLLOW PARK,DALLAS,TX,75228,57,CL,1,ROYAL LIQUOR BEER & WINE,4034 CEDAR SPRINGS RD,DALLAS,TX,75219,57.0,445310.0,Y,02/26/2021,04/15/2021,1259,32.81133789777,-96.811494216179,Match,Exact
17419316645,GOOD SPIRITS LLC,PO BOX 29096,PHOENIX,AZ,85038,0,CL,288,GOOD SPIRITS LLC #4231,215 N CARRIER PKWY,GRAND PRAIRIE,TX,75050,57.0,445310.0,Y,09/20/2004,10/01/2004,1260,32.74336792198,-97.016293217332,Match,Exact
32065622527,S & F LEGACY INC,124 ANDREA CT,LEWISVILLE,TX,75067,61,CT,1,BEST FOR LESS,1066 PIONEER RD,MESQUITE,TX,75149,57.0,445120.0,Y,12/22/2017,02/01/2018,1261,32.754000981982,-96.583451402796,Match,Exact
32039889525,AMBSA INC.,9118 BARTON CREEK DR,ROWLETT,TX,75089,199,CT,2,VIVA FOODS,535 N PLANO RD,GARLAND,TX,75042,57.0,445120.0,Y,12/08/2016,02/01/2017,1262,32.917250921261,-96.700445984829,Match,Non_Exact
17427437011,SPEC'S FAMILY CORP.,2410 SMITH ST,HOUSTON,TX,77006,101,CT,225,"SPEC'S LIQUOR #191, SFP DISTRIBUTION",971 N HIGHWAY 67 STE 400,CEDAR HILL,TX,75104,57.0,445310.0,Y,01/27/2023,02/01/2023,1263,32.605769432095,-96.930548718213,Match,Exact
32010806399,BALDOMERA BALBUENA,3310 LOCHWOOD DR,MESQUITE,TX,75181,57,IS,1,AZTECA MEXICAN BAKERY,11555 FERGUSON RD # 500,DALLAS,TX,75228,57.0,445000.0,Y,12/01/2000,10/03/2000,1264,32.852153399652,-96.653421681067,Match,Exact
32058690903,JAVIER ALVARADO,2712 LOLITA DR,DALLAS,TX,75227,57,IS,1,GABINO'S PRODUCE,2424 S CESAR CHAVEZ BLVD,DALLAS,TX,75215,57.0,445230.0,Y,10/30/2015,10/30/2015,1265,,,No_Match,
32054198745,HAIMANOT TW LLC,PO BOX 139044,DALLAS,TX,75313,57,CL,2,7-ELEVEN CONVENIENCE STORE #25764B,10690 WALNUT HILL LN,DALLAS,TX,75238,57.0,445120.0,Y,07/18/2023,07/24/2023,1266,32.878808990776,-96.700772784093,Match,Exact
17606039679,"RANDALL'S BEVERAGE COMPANY, INC.",PO BOX 29096,PHOENIX,AZ,85038,0,CT,179,TOM THUMB #4606,1509 PIONEER RD,MESQUITE,TX,75149,57.0,445110.0,Y,06/21/2011,06/13/2011,1267,32.747014472024,-96.583578155229,Match,Exact
32102349605,SELIN ERYUREK,2401 BENNETT AVE APT 3311,DALLAS,TX,75206,57,IS,1,SELIN'S TABLE,2401 BENNETT AVE APT 3311,DALLAS,TX,75206,57.0,445299.0,Y,10/02/2025,10/04/2025,1268,32.812158824134,-96.781219885993,Match,Exact
32017417836,STEVE B THATCHER,4343 LOVERS LN,DALLAS,TX,75225,57,IS,2,DRIP COFFEE,4343 LOVERS LN,DALLAS,TX,75225,57.0,445299.0,Y,05/16/2005,06/15/2005,1269,32.851342461025,-96.835922921759,Match,Non_Exact
32055870730,BROADWAY GAS & MORE INC,2405 HOLLOW HILL LN,LEWISVILLE,TX,75056,61,CT,2,HAPPY'S MARKET #1,3036 BROADWAY BLVD,GARLAND,TX,75041,57.0,445120.0,Y,09/13/2017,09/25/2017,1270,,,No_Match,
18201844349,ALBERTSON'S LLC,PO BOX 29096,PHOENIX,AZ,85038,0,CI,331,ALBERTSON'S #4133,427 E FM 1382,CEDAR HILL,TX,75104,57.0,445110.0,Y,09/30/1999,10/15/1999,1271,32.593010142819,-96.93776563355,Match,Exact
18201844349,ALBERTSON'S LLC,PO BOX 29096,PHOENIX,AZ,85038,0,CI,49,ALBERTSON'S #4260,2165 E BUCKINGHAM DR,RICHARDSON,TX,75081,57.0,445110.0,Y,10/06/1984,11/28/1984,1272,32.931524892434,-96.686024230102,Match,Non_Exact
32096658300,"ABYSSINIA MARKET, IRVING LLC",8621 CAMPBELL DR,ROWLETT,TX,75089,57,CL,1,"ABYSSINIA MARKET, IRVING LLC",4010 N BELT LINE RD,IRVING,TX,75038,57.0,445110.0,Y,11/20/2024,12/01/2024,1273,32.861962558741,-96.991759863018,Match,Exact
14120386264,"NATASHA STORES, INC.",3941 CREEKSIDE LN,CARROLLTON,TX,75010,61,CT,3,SUNDRY SHOP,1910 PACIFIC AVE STE 2050,DALLAS,TX,75201,57.0,445120.0,Y,01/10/2013,01/15/2013,1274,32.782991370818,-96.795313262289,Match,Exact
17106365988,QUALITY LICENSING CORP.,508 SW 8TH ST,BENTONVILLE,AR,72712,0,CT,442,QUALITY LICENSING CORP STORE 8242,12000 MCCREE RD,DALLAS,TX,75238,57.0,445310.0,Y,10/26/2010,11/01/2010,1275,32.86807891571,-96.674385904718,Match,Exact
32091738180,KNSA FOODS & MORE INC,2830 N JOSEY LN,CARROLLTON,TX,75007,61,CT,1,INDIA CASH & CARRY,1900 MARKET PLACE BLVD,IRVING,TX,75063,57.0,445110.0,Y,04/05/2024,01/01/2025,1276,32.920012503268,-96.970784987733,Match,Exact
32051944471,"SNAP KITCHEN DALLAS, LLC",PO BOX 340820,AUSTIN,TX,78734,227,CL,4,SNAP KITCHEN #18,6025 ROYAL LN STE 314B,DALLAS,TX,75230,57.0,445299.0,Y,07/17/2014,09/06/2014,1277,32.894963589525,-96.803181595304,Match,Exact
32009359632,MARY T CARTER,4129 MATTHEW RD,GRAND PRAIRIE,TX,75052,57,IS,9,GRANNA'S HOUSE,4129 MATTHEW RD,GRAND PRAIRIE,TX,75052,57.0,445291.0,Y,07/10/2017,06/01/2017,1278,32.671809677033,-97.030851554351,Match,Exact
17106365988,QUALITY LICENSING CORP.,508 SW 8TH ST,BENTONVILLE,AR,72712,0,CT,296,QUALITY LICENSING CORP (STORE #4783),5150 N GARLAND AVE,GARLAND,TX,75040,57.0,445310.0,Y,05/11/2005,05/15/2005,1279,,,No_Match,
30114110569,"FM ADVISORS, INC.",2909 COLE AVE STE 100,DALLAS,TX,75204,57,CT,3,DREBELBIS ENGINEERING,2909 COLE AVE STE 100,DALLAS,TX,75204,57.0,445110.0,Y,01/03/2005,12/01/2004,1280,32.801948510488,-96.802407206048,Match,Exact
12636753654,SONERI LLC,4201 W WALNUT ST,GARLAND,TX,75042,57,CL,2,STAR FOOD MART,4201 W WALNUT ST,GARLAND,TX,75042,57.0,445120.0,Y,11/04/2010,11/15/2010,1281,32.916738223636,-96.696955467183,Match,Exact
