GRANTEE_NAME,STORE_NAME,ADDITONAL_ADDRESS,LATITUDE,OBJECTID,CITY,STORE_STREET_ADDRESS,ZIP4,COUNTY,INCENTIVE_PROGRAM,Y,ZIP_CODE,RECORD_ID,STATE,STORE_TYPE,Ï»¿X,LONGITUDE
,Walgreens 09126,,32.758137,67581,DALLAS,2602 FORT WORTH AVE,1746,DALLAS,,3863244.52324186,75211,750502.0,TX,Pharmacy,-10782921.5101178,-96.864632
,LA MICHOACANA MEAT MARKET 23,,32.87785,67593,GARLAND,2114 W KINGSLEY RD,4133,DALLAS,,3879101.79487451,75041,749838.0,TX,Supermarket,-10759996.2628644,-96.658691
,Walgreens 06120,,32.838062,67595,DALLAS,9937 GARLAND RD,3259,DALLAS,,3873829.07585438,75218,750507.0,TX,Pharmacy,-10764263.1389465,-96.697021
,Walgreens 06660,,32.836071,67609,DALLAS,5742 E MOCKINGBIRD LN,5422,DALLAS,,3873565.28998059,75206,750511.0,TX,Pharmacy,-10772224.486289,-96.768539
,Walgreens 07334,,32.807705,67636,DALLAS,5001 ROSS AVE,7706,DALLAS,,3869807.74531197,75206,750517.0,TX,Pharmacy,-10772965.0948613,-96.775192
,Walgreens 06390,,32.812172,67643,MESQUITE,1015 N TOWN EAST BLVD,4601,DALLAS,,3870399.39357033,75150,750520.0,TX,Pharmacy,-10754620.199376,-96.610397
,Walgreens 05959,,32.74614,67650,MESQUITE,1520 PIONEER RD,6033,DALLAS,,3861656.56836859,75149,750521.0,TX,Pharmacy,-10751623.9239618,-96.583481
,Walgreens 06891,,32.864368,67656,DALLAS,11403 E NORTHWEST HWY,1403,DALLAS,,3877314.89080434,75218,750522.0,TX,Pharmacy,-10762620.6198598,-96.682266
,Walgreens 05558,,32.604385,67663,LANCASTER,1507 W PLEASANT RUN RD,1213,DALLAS,,3842909.65405752,75146,750524.0,TX,Pharmacy,-10774447.9817981,-96.788513
,Valero Corner Store 2744517,,32.833588,67764,MESQUITE,1145 INTERSTATE 30,6901,DALLAS,,3873236.32773958,75150,917498.0,TX,Convenience Store,-10754967.6275068,-96.613518
,Valero Corner Store 2742003,,32.932793,67771,DALLAS,5518 ALPHA RD,4508,DALLAS,,3886386.75205009,75240,917504.0,TX,Convenience Store,-10777136.9040982,-96.812668
,BRAUM'S 55,,32.849068,67845,GARLAND,5435 BROADWAY BLVD,3638,DALLAS,,3875287.35806442,75043,750669.0,TX,Other,-10753235.8301885,-96.597961
,BRAUM'S 57,,32.938213,67851,RICHARDSON,518 CENTENNIAL BLVD,5147,DALLAS,,3887105.64132603,75081,750671.0,TX,Other,-10767201.7508644,-96.723419
,BRAUM'S 58,,32.97187,67857,CARROLLTON,2134 N JOSEY LN,2904,DALLAS,,3891570.77133189,75006,750672.0,TX,Other,-10785724.980174,-96.889816
,BRAUM'S 59,,32.799522,67863,IRVING,1413 S STORY RD,5004,DALLAS,,3868723.9948774,75060,750674.0,TX,Other,-10795438.4963016,-96.977074
,BRAUM'S 61,,32.864532,67879,GARLAND,1815 NORTHWEST HWY,4833,DALLAS,,3877336.62572946,75041,750677.0,TX,Other,-10759672.7684241,-96.655785
,BRAUM'S 62,,32.9412,67885,GARLAND,2802 LAVON DR,8766,DALLAS,,3887501.8450772,75040,750679.0,TX,Other,-10755945.1239554,-96.622299
,BRAUM'S 67,,32.854179,67897,IRVING,3601 N STORY RD,3439,DALLAS,,3875964.62112056,75062,750684.0,TX,Other,-10795230.3288538,-96.975204
,Wrights Family Food,,32.686996,67906,DALLAS,1050 S BELT LINE RD,5001,DALLAS,,3853831.23400425,75253,673886.0,TX,Other,-10752258.3337398,-96.58918
,Valero Corner Store 274796,,32.640415,67914,DUNCANVILLE,1102 S COCKRELL HILL RD,3504,DALLAS,,3847671.75664901,75137,917081.0,TX,Convenience Store,-10785886.3934356,-96.891266
,Corner Store 2741742,,32.592789,67938,CEDAR HILL,401 E FM 1382,6027,DALLAS,,3841377.41263297,75104,917095.0,TX,Convenience Store,-10791029.6878687,-96.937469
,KROGER 557,,32.977314,67953,GARLAND,6850 N SHILOH ROAD,    ,DALLAS,,3892293.16331452,75044,673987.0,TX,Super Store,-10760567.8884496,-96.663826
,Walgreens 09647,,32.954189,68009,DALLAS,5201 BELT LINE RD,7505,DALLAS,,3889224.89680111,75254,919184.0,TX,Pharmacy,-10777834.988625,-96.818939
,7-Eleven 24409,,32.847813,68080,IRVING,3001 N BELT LINE RD,6878,DALLAS,,3875121.062888,75062,880442.0,TX,Convenience Store,-10797148.1410412,-96.992432
,Texas King Irving zabiha halal meat,Ste 103,32.853935,68145,IRVING,3455 N BELT LINE RD,7823,DALLAS,,3875932.28758152,75062,918646.0,TX,Supermarket,-10797278.050887,-96.993599
,Walgreens 09909,,32.972485,68671,SACHSE,5434 HIGHWAY 78,3740,DALLAS,,3891652.37657129,75048,918757.0,TX,Pharmacy,-10753488.0801546,-96.600227
,Walmart 5824,,32.769215,68846,MESQUITE,1951 MILITARY PKWY,    ,DALLAS,,3864711.0268192,75149,1286442.0,TX,Super Store,-10756634.7482009,-96.628494
,RaceTrac 2429,,32.877991,69206,IRVING,3510 CARBON RD,    ,DALLAS,,3879120.48444818,75038,1287700.0,TX,Convenience Store,-10797290.7413089,-96.993713
,Nursery Food Mart,,32.801231,69361,IRVING,1140 S NURSERY RD,6148,DALLAS,,3868950.32532481,75060,856007.0,TX,Convenience Store,-10790668.7900796,-96.934227
,Dollar Tree 2095,,32.591637,69601,CEDAR HILL,435 E FM 1382,6027,DALLAS,,3841225.20354706,75104,856687.0,TX,Discount Retail,-10790926.9399787,-96.936546
,WALGREENS 11645,,32.733631,70951,DALLAS,10152 LAKE JUNE RD,3042,DALLAS,,3860001.07151599,75217,901072.0,TX,Pharmacy,-10758943.1804815,-96.649231
,7-Eleven Inc 27206,,32.676308,71312,DALLAS,13601 C F HAWN FWY,5402,DALLAS,,3852417.6594489,75253,931038.0,TX,Convenience Store,-10753630.7917418,-96.601509
,7-Eleven 27441,,32.786907,71830,MESQUITE,1803 N GALLOWAY AVE,2257,DALLAS,,3867053.46905063,75149,930175.0,TX,Convenience Store,-10754156.5536969,-96.606232
,BRAUM'S 71,,32.812958,72105,MESQUITE,3506 N GALLOWAY AVE,4369,DALLAS,,3870503.5013105,75150,752025.0,TX,Other,-10754658.4932808,-96.610741
,BRAUM'S 73,,32.709579,72255,GRAND PRAIRIE,500 E PIONEER PKWY,4954,DALLAS,,3856818.57523431,75051,750717.0,TX,Other,-10797812.2731233,-96.998398
,BRAUM'S 79,,32.603703,72270,DESOTO,720 E PLEASANT RUN RD,4006,DALLAS,,3842819.53226518,75115,750724.0,TX,Other,-10780405.8009454,-96.842033
,LA AZTECA MEAT MARKET 6,,32.829426,72488,IRVING,2712 W IRVING BLVD,4235,DALLAS,,3872684.94247295,75061,752667.0,TX,Other,-10796093.2775465,-96.982956
,BRAUM'S 91,,32.986176,72650,CARROLLTON,3400 E TRINITY MILLS RD,2300,DALLAS,,3893469.20232439,75006,750803.0,TX,Other,-10784874.8332228,-96.882179
,BRAUM'S 179,,32.907475,72653,ROWLETT,3312 LAKEVIEW PKWY,3365,DALLAS,,3883029.24698908,75088,751402.0,TX,Other,-10750477.3332066,-96.573181
,BRAUM'S 185,,32.720963,72686,DALLAS,4303 W ILLINOIS AVE,8460,DALLAS,,3858324.76866136,75211,751408.0,TX,Other,-10785753.0326857,-96.890068
,WALGREENS 05509,Ste 100,32.925507,72701,DALLAS,13260 JOSEY LN,4979,DALLAS,,3885420.43265966,75234,752344.0,TX,Pharmacy,-10784798.4680521,-96.881493
,BRAUM'S 120,,32.978817,72711,RICHARDSON,1260 W CAMPBELL RD,2945,DALLAS,,3892492.61185553,75080,750837.0,TX,Other,-10771572.2653925,-96.76268
,BRAUM'S 201,,32.643261,72738,DUNCANVILLE,907 S COCKRELL HILL RD,2623,DALLAS,,3848047.99556172,75137,751421.0,TX,Other,-10785916.1157397,-96.891533
,BRAUM'S 255,,32.801731,72793,IRVING,1701 E SHADY GROVE RD,6316,DALLAS,,3869016.54336438,75060,751450.0,TX,Other,-10789493.3675763,-96.923668
,BRAUM'S 256,,32.90974,72801,DALLAS,3441 FOREST LN,7713,DALLAS,,3883329.57713527,75234,751452.0,TX,Other,-10782691.3014109,-96.862564
,BRAUM'S 257,,32.907883,72813,DALLAS,9755 GREENVILLE AVE,4120,DALLAS,,3883083.34562688,75243,751485.0,TX,Other,-10769882.9921197,-96.747505
,BRAUM'S 258,,32.830936,72819,DALLAS,3602 INWOOD RD,5828,DALLAS,,3872884.98555797,75209,751488.0,TX,Other,-10778544.2051009,-96.82531
,7-Eleven 34103,,32.806335,73453,DALLAS,2607 N STEMMONS FWY,2101,DALLAS,,3869626.29657741,75207,947039.0,TX,Convenience Store,-10780284.3513809,-96.840942
,Family Dollar Store 1411,,32.778851,73489,DALLAS,2223 SINGLETON BLVD,3783,DALLAS,,3865986.78713693,75212,882932.0,TX,Discount Retail,-10782456.8625633,-96.860458
,Family Dollar Store 7950,,32.604626,73497,LANCASTER,1327 N DALLAS AVE,3201,DALLAS,,3842941.50077871,75134,882934.0,TX,Discount Retail,-10771128.9911801,-96.758698
,Dollar Tree 2639,,32.723328,74143,DALLAS,742 WYNNEWOOD VILLAGE,    ,DALLAS,,3858637.70102571,75224,902930.0,TX,Discount Retail,-10779317.8755619,-96.83226
,CVS Pharmacy 10909,,32.856823,74322,DALLAS,6474 E NORTHWEST HWY,1594,DALLAS,,3876314.99517262,75214,1290842.0,TX,Pharmacy,-10770159.0644569,-96.749985
,Family Dollar 11538,,32.626549,74633,LANCASTER,3163 N DALLAS AVE,3708,DALLAS,,3845838.85379268,75134,1292320.0,TX,Discount Retail,-10772571.0238639,-96.771652
,Dollar Tree 2350,Ste 408,32.864754,74995,DALLAS,10233 E NORTHWEST HWY,4498,DALLAS,,3877366.04746043,75238,902925.0,TX,Discount Retail,-10765637.3780603,-96.709366
,Costco Wholesale 0636,,32.621494,75346,DUNCANVILLE,250 W HIGHWAY 67,4415,DALLAS,,3845170.71990506,75137,923743.0,TX,Super Store,-10787917.8628231,-96.909515
,7-eleven Convenience Store 36368C,,32.971176,75554,CARROLLTON,2230 MARSH LN,2601,DALLAS,,3891478.68415063,75006,1583436.0,TX,Convenience Store,-10781861.5259265,-96.85511
